id,nama,kode
11,ACEH,11
12,SUMATERA UTARA,12
13,SUMATERA BARAT,13
14,RIAU,14
15,JAMBI,15
16,SUMATERA SELATAN,16
17,BENGKULU,17
18,LAMPUNG,18
19,KEPULAUAN BANGKA BELITUNG,19
21,KEPULAUAN RIAU,21
31,DKI JAKARTA,31
32,JAWA BARAT,32
33,JAWA TENGAH,33
34,DAERAH ISTIMEWA YOGYAKARTA,34
35,JAWA TIMUR,35
36,BANTEN,36
51,BALI,51
52,NUSA TENGGARA BARAT,52
53,NUSA TENGGARA TIMUR,53
61,KALIMANTAN BARAT,61
62,KALIMANTAN TENGAH,62
63,KALIMANTAN SELATAN,63
64,KALIMANTAN TIMUR,64
65,KALIMANTAN UTARA,65
71,SULAWESI UTARA,71
72,SULAWESI TENGAH,72
73,SULAWESI SELATAN,73
74,SULAWESI TENGGARA,74
75,GORONTALO,75
76,SULAWESI BARAT,76
81,MALUKU,81
82,MALUKU UTARA,82
91,PAPUA,91
92,PAPUA BARAT,92
93,PAPUA SELATAN,93
94,PAPUA TENGAH,94
95,PAPUA PEGUNUNGAN,95
